供货点,产品类型,产品条目,最低店铺等级,商品Tag,基础价格（进货）,,,,,,
雾之湖供货,农作物,草鱼,1,食材,100,,,,,,
雾之湖供货,农作物,鲢鱼,1,食材,100,,,,,,
雾之湖供货,农作物,小龙虾,1,食材,50,,,,,,
雾之湖供货,农作物,冰冻青蛙,1,食材,0,,,,,,
雾之湖供货,农作物,章鱼,1,食材,150,,,,,,
雾之湖供货,农作物,鱿鱼,1,食材,150,,,,,,
雾之湖供货,农作物,大黄鱼,1,食材,100,,,,,,
雾之湖供货,农作物,黄鳝,1,食材,100,,,,,,
雾之湖供货,农作物,河蟹,1,食材,200,,,,,,
雾之湖供货,农作物,秋刀鱼,1,食材,200,,,,,,
雾之湖供货,农作物,土鳖,1,食材,150,,,,,,
雾之湖供货,农作物,油库里鱼,1,食材,100,,,,,,
雾之湖供货,农作物,大青花鱼,1,食材,200,,,,,,
雾之湖供货,农作物,鳙鱼,1,食材,200,,,,,,
雾之湖供货,农作物,螺蛳,1,食材,100,,,,,,
雾之湖供货,农作物,蚌,1,食材,100,,,,,,
雾之湖供货,农作物,冰冻的金枪鱼,1,食材,200,,,,,,
雾之湖供货,农作物,冰冻的带鱼,1,食材,200,,,,,,
雾之湖供货,农作物,金龙鱼,1,食材,200,,,,,,
雾之湖供货,农作物,水蛇,1,食材,200,,,,,,
雾之湖供货,农作物,泥鳅,1,食材,100,,,,,,
雾之湖供货,农作物,冷库石斑鱼,1,食材,100,,,,,,
雾之湖供货,农作物,冰冻的水母,1,食材,100,,,,,,
雾之湖供货,农作物,七鳃鳗,1,食材,100,,,,,,
雾之湖供货,农作物,肥美藤壶,1,食材,50,,,,,,
雾之湖供货,农作物,深海珊瑚,1,食材,200,,,,,,
雾之湖供货,农作物,龙宫海星,1,食材,250,,,,,,
雾之湖供货,农作物,积雨云飞鱼,1,食材,250,,,,,,
雾之湖供货,农作物,有顶天鲶鱼,1,食材,300,,,,,,
雾之湖供货,农作物,雷电龙虾,1,食材,300,,,,,,
雾之湖供货,农作物,地震鱼,1,食材,350,,,,,,
雾之湖供货,农作物,冰冻沙丁鱼,1,食材,200,,,,,,
雾之湖供货,农作物,冰冻银枪鱼,1,食材,200,,,,,,
雾之湖供货,农作物,寄居蟹,1,食材,100,,,,,,
雾之湖供货,农作物,海蟹,1,食材,150,,,,,,
雾之湖供货,农作物,冰冻的安康鱼,1,食材,200,,,,,,
雾之湖供货,农作物,龙宫海龟,1,食材,300,,,,,,
雾之湖供货,农作物,告春鱼,1,食材,250,,,,,,
雾之湖供货,农作物,随机打捞到的的漂流瓶,1,,50,,,,,,
雾之湖供货,农作物,冰冻妖精,1,,500,,,,,,
三途川供货,农作物,死神钓鱼,1,,200,,,,,,
三途川供货,农作物,来路不明的鱼肉,1,食材,100,,,,,,
三途川供货,农作物,食人鱼,1,食材,300,,,,,,
三途川供货,农作物,幽灵鱼,1,食材,400,,,,,,
三途川供货,农作物,海盗鱼,1,食材,350,,,,,,
三途川供货,农作物,7秒记忆的河道鲨鱼,1,食材,600,,,,,,
三途川供货,农作物,悼亡鸣鱼,1,食材,400,,,,,,
太阳花田供货,农作物,完整而精致的太阳花盆栽,1,家用摆件,500,,,,,,
采石场供货,农作物,来路不明的巨大蜘蛛腿,1,特殊材料,200,,,,,,
采石场供货,农作物,可疑的燃烧肉块,1,特殊材料,200,,,,,,
采石场供货,原材料,铁矿石,1,制造材料,50,,,,,,
采石场供货,原材料,铜矿石,1,制造材料,120,,,,,,
采石场供货,原材料,银矿石,1,制造材料,300,,,,,,
采石场供货,原材料,磷火石,1,制造材料,250,,,,,,
采石场供货,原材料,砖块,1,制造材料,5,,,,,,
采石场供货,原材料,大理石,1,制造材料,20,,,,,,
采石场供货,原材料,温泉石,1,制造材料,50,,,,,,
采石场供货,原材料,核燃料,1,制造材料,500,,,,,,
采石场供货,原材料,来自地下的黑色的油,1,制造材料,400,,,,,,
采石场供货,原材料,北百合改良型水泥,1,制造材料,80,,,,,,
采石场供货,工艺品,夜明珠,4,高级工艺品,3000,,,,,,
采石场供货,工艺品,星光宝石,4,高级工艺品,2500,,,,,,
采石场供货,工艺品,玲珑剔透的石英,4,高级工艺品,1500,,,,,,
采石场供货,工艺品,酒石,4,高级工艺品,4500,,,,,,
采石场供货,工艺品,读心石,4,高级工艺品,6000,,,,,,
采石场供货,工艺品,金刚石,4,高级工艺品,5000,,,,,,
采石场供货,装备,鬼王拳套,7,"魔法道具,武器",7500,,,,,,
采石场供货,装备,星幽铸剑,7,"魔法道具,武器",9000,,,,,,
采石场供货,装备,碎月锤,7,"魔法道具,武器",9500,,,,,,
采石场供货,装备,核子动力臂铠,7,"魔法道具,武器",12000,,,,,,
河童供货,原材料,齿轮原件,1,制造材料,100,,,,,,
河童供货,原材料,铅块,1,制造材料,150,,,,,,
河童供货,原材料,锡纸,1,制造材料,50,,,,,,
河童供货,原材料,通用零件,1,制造材料,200,,,,,,
河童供货,原材料,铁块,1,制造材料,300,,,,,,
河童供货,原材料,玻璃,1,制造材料,100,,,,,,
河童供货,原材料,铜块,1,制造材料,500,,,,,,
河童供货,原材料,银块,1,制造材料,1000,,,,,,
河童供货,原材料,持久不化的冰块,1,特殊材料,500,,,,,,
河童供货,原材料,完整的蕾蒂雪花,1,特殊材料,450,,,,,,
河童供货,原材料,河童工业实验室玻璃,1,制造材料,400,,,,,,
河童供货,原材料,石棉,1,制造材料,200,,,,,,
河童供货,日用品,玄武川滋水枪,2,玩具,150,,,,,,
河童供货,日用品,荧光棒,2,玩具,100,,,,,,
河童供货,日用品,天狗玩具照相机,2,玩具,300,,,,,,
河童供货,日用品,河童打字机,2,文具,400,,,,,,
河童供货,日用品,便携的印刷机,2,文具,500,,,,,,
河童供货,日用品,易擦易写的记事本,2,"实用百货,文具",150,,,,,,
河童供货,日用品,河童制低音炮,2,实用百货,300,,,,,,
河童供货,日用品,录音锤,2,实用百货,200,,,,,,
河童供货,日用品,两轴三轮人力车,2,实用百货,1000,,,,,,
河童供货,日用品,河童制式扩音器,2,实用百货,250,,,,,,
河童供货,日用品,河童特制强力胶水,2,实用百货,100,,,,,,
河童供货,工具,扳手,3,工具,50,,,,,,
河童供货,工具,钳子,3,工具,40,,,,,,
河童供货,工具,起子,3,工具,30,,,,,,
河童供货,工具,螺丝,3,工具,10,,,,,,
河童供货,工具,锯子,3,工具,80,,,,,,
河童供货,工具,木桶,3,工具,120,,,,,,
河童供货,工具,安全帽,3,工具,150,,,,,,
河童供货,工具,手电筒,3,工具,100,,,,,,
河童供货,工具,皮手套,3,"农用装备,武装装备",120,,,,,,
河童供货,工具,望远镜,3,工具,150,,,,,,
河童供货,工具,河童防火雨衣,3,"农用装备,武装装备",300,,,,,,
河童供货,工具,昂贵的文文新闻社单反相机,3,"高档用品,高科技产品",1500,,,,,,
河童供货,工具,河童简化显微镜,3,"高档用品,高科技产品",600,,,,,,
